Festival_Name,Location,Country,Attendace_Numbers,Age_Range,Visitor_Demographics,Economic_Impact (€), Music_Genre
Glastonbury Festival,Somerset, UK,200000,18-35, Music Enthusiasts,116000000,Various
Tomorrowland,Boom, Belgium,400000,18-30, EDM Fans,150000000,EDM
Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,130000000,Various
Rock am Ring,Nürburg, Germany,90000,20-40, Rock Fans,80000000,Rock
Roskilde Festival,Roskilde, Denmark,130000,18-40, Alternative Music Lovers,9100000,Alternative
Reading Festival,Reading, UK,100000,16-35, Rock and Indie Fans,69600000,Rock/Indie
Paris Jazz Festival,Paris, France,60000,30-60, Jazz Enthusiasts,20000000,Jazz
Benicàssim Festival,Benicàssim, Spain,40000,18-35, Pop and Indie Fans,15000000,Pop/Indie
Exit Festival,Novi Sad, Serbia,200000,18-30, Electronic and Rock Fans,50000000,Electronic/Rock
Primavera Sound,Barcelona, Spain,200000,20-40, Indie and Electronic Music Lovers,70000000,Indie/Electronic
Lollapalooza Berlin,Berlin, Germany,100000,18-35, Alternative Music Fans,40000000,Alternative
Pukkelpop,Hasselt, Belgium,200000,18-35, Diverse Music Genres,60000000,Various
Arenal Sound,Burriana, Spain,150000,16-30, Pop and Rock Fans,30000000,Pop/Rock
Dour Festival,Dour, Belgium,200000,18-35, Rock and Electronic Fans,55000000,Rock/Electronic
Rock Werchter,Werchter, Belgium,150000,18-40, Rock Enthusiasts,85000000,Rock
Sonar Festival,Barcelona, Spain,100000,20-40, Electronic Music Fans,35000000,Electronic
Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,45000000,Metal
T in the Park,Strathallan Castle, UK,80000,18-35, Rock and Pop Fans,46400000,Rock/Pop
Mysteryland,Haarlem, Netherlands,90000,18-30, EDM Fans,25000000,EDM
Kendal Calling,Kendal, UK,40000,18-35, Indie and Alternative Music Fans,17400000,Indie/Alternative
Latitude Festival,Suffolk, UK,45000,18-40, Diverse Music and Arts Fans,23200000,Various
Nass Festival,Shepton Mallet, UK,30000,18-35, Music and Action Sports Fans,13920000,Various
Green Man Festival,Brecon Beacons, UK,25000,18-40, Indie and Folk Music Fans,11600000,Indie/Folk
Summer Breeze,Feucht, Germany,40000,20-45, Metal and Hardcore Fans,30000000,Metal/Hardcore
Parklife Festival,Manchester, UK,80000,18-30, Electronic and Indie Music Fans,29000000,Electronic/Indie
Electric Daisy Carnival,London, UK,60000,18-35, EDM Fans,34800000,EDM
Splendour in the Grass,Bendigo, Australia,40000,18-35, Indie and Electronic Fans,12200000,Indie/Electronic
Creamfields,Cheshire, UK,70000,18-35, EDM Fans,40600000,EDM
Montreux Jazz Festival,Montreux, Switzerland,20000,25-60, Jazz and Blues Fans,10400000,Jazz/Blues
Nyege Nyege Festival,Jinja, Uganda,20000,18-40, Afrobeat and Electronic Fans,4550000,Afrobeat/Electronic
Boogaloo Festival,Valencia, Spain,35000,18-40, Indie and Electronic Fans,18000000,Indie/Electronic
Sundance Festival,Park City, USA,47000,25-50, Film and Music Fans,22750000,Various
Mad Cool Festival,Madrid, Spain,80000,18-35, Rock and Alternative Fans,45000000,Rock/Alternative
Heineken Open'er,Gdynia, Poland,60000,18-35, Diverse Music Genres,6600000,Various
Gurten Festival,Bern, Switzerland,30000,18-40, Pop and Rock Fans,8320000,Pop/Rock
Lovebox Festival,London, UK,45000,18-35, Electronic and Urban Music Fans,25520000,Electronic/Urban
Ejekt Festival,Athens, Greece,30000,18-35, Rock and Electronic Fans,12000000,Rock/Electronic
Ruisrock,Turku, Finland,35000,18-35, Pop and Rock Fans,10000000,Pop/Rock
Melt! Festival,Großpösna, Germany,50000,18-35, Electronic and Indie Fans,25000000,Electronic/Indie
South West Four,London, UK,30000,18-35, Electronic and Dance Fans,17400000,Electronic/Dance
Boomtown Fair,Winchester, UK,60000,18-40, Diverse Music and Arts Fans,46400000,Various
Coachella Valley Music and Arts Festival,Indio, USA,125000,18-40, Various Music Fans,45500000,Various
Lollapalooza Paris,Paris, France,75000,18-35, Rock and Electronic Fans,30000000,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,15000000,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,1000000,Jazz
Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,36400000,Various
Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,7280000,Classical
Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,22000000,Rock/Pop
Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,17400000,Rock/Alternative
Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,40600000,Rock/Alternative
Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,18000000,Electronic/Rock
Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,12000000,Jazz
Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,720000,Various
Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,12000000,Electronic/Alternative
Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,25000000,Electronic/Rock
The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,11600000,Indie
Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,6700000,Jazz
Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,1080000,Various
Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,34800000,Rock/Pop
Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,10000000,Classical/Jazz
Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,30000000,Pop
Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,18200000,Various
Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,1350000,Rock/Indie
Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,20000000,EDM/Techno
Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,12000000,Pop/Indie
Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,25000000,Stoner Rock/Metal
Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,9100000,Various
Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,1250000,Rock/Latin
Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,15000000,Dark/Electronic
Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,260000,Rock/Electronic
Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,12000000,Classical/Jazz
Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,17400000,Indie/Rock
Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,23200000,Folk/Celtic
Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,22000,Rock/Electronic
Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,1800000,Classical/Folk
Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,15000000,Classical
Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,30000000,Indie/Electronic
Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,15600000,Jazz/Blues
Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,60000,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,15000000,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,1000000,Jazz
Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,45000000,Metal
Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,130000000,Various
Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,36400000,Various
Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,7280000,Classical
Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,22000000,Rock/Pop
Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,17400000,Rock/Alternative
Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,40600000,Rock/Alternative
Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,18000000,Electronic/Rock
Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,12000000,Jazz
Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,720000,Various
Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,12000000,Electronic/Alternative
Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,25000000,Electronic/Rock
The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,11600000,Indie
Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,6700000,Jazz
Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,1080000,Various
Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,34800000,Rock/Pop
Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,10000000,Classical/Jazz
Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,30000000,Pop
Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,18200000,Various
Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,1350000,Rock/Indie
Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,20000000,EDM/Techno
Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,12000000,Pop/Indie
Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,25000000,Stoner Rock/Metal
Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,9100000,Various
Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,1250000,Rock/Latin
Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,15000000,Dark/Electronic
Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,260000,Rock/Electronic
Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,12000000,Classical/Jazz
Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,17400000,Indie/Rock
Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,23200000,Folk/Celtic
Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,22000,Rock/Electronic
Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,1800000,Classical/Folk
Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,15000000,Classical
Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,30000000,Indie/Electronic
Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,15600000,Jazz/Blues
Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,60000,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,15000000,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,1000000,Jazz
Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,45000000,Metal
Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,130000000,Various
Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,36400000,Various
Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,7280000,Classical
Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,22000000,Rock/Pop
Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,17400000,Rock/Alternative
Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,40600000,Rock/Alternative
Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,18000000,Electronic/Rock
Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,12000000,Jazz
Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,720000,Various
Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,12000000,Electronic/Alternative
Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,25000000,Electronic/Rock
The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,11600000,Indie
Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,6700000,Jazz
Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,1080000,Various
Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,34800000,Rock/Pop
Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,10000000,Classical/Jazz
Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,30000000,Pop
Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,18200000,Various
Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,1350000,Rock/Indie
Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,20000000,EDM/Techno
Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,12000000,Pop/Indie
Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,25000000,Stoner Rock/Metal
Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,9100000,Various
Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,1250000,Rock/Latin
Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,15000000,Dark/Electronic
Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,260000,Rock/Electronic
Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,12000000,Classical/Jazz
Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,17400000,Indie/Rock
Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,23200000,Folk/Celtic
Lollapalooza Chile,Santiago, Chile,50000,18-35, Rock and Electronic Fans,22000,Rock/Electronic
Bergen International Festival,Bergen, Norway,30000,25-60, Classical and Folk Fans,1800000,Classical/Folk
Budapest Festival Orchestra,Budapest, Hungary,20000,25-60, Classical Music Fans,15000000,Classical
Electric Picnic,Stradbally, Ireland,50000,18-40, Indie and Electronic Fans,30000000,Indie/Electronic
Blue Balls Festival,Lucerne, Switzerland,35000,25-60, Jazz and Blues Fans,15600000,Jazz/Blues
Lollapalooza Buenos Aires,Buenos Aires, Argentina,60000,18-35, Rock and Electronic Fans,60000,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,15000000,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,1000000,Jazz
